#Simulate Step number,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading,Time taken by task
274.0000,100.8060,28.9253,-0.0008,28.0452,-0.0000,28.0452,100.8060,72
275.0000,100.8722,29.3706,-0.0008,28.0452,-0.0000,28.0452,100.8722,46
276.0000,100.8482,27.5655,-0.0008,28.0451,-0.0000,28.0451,100.8482,51
277.0000,100.9171,29.4217,-0.0008,28.0451,-0.0000,28.0451,100.9171,55
278.0000,101.0623,30.8503,-4.0000,27.8451,0.0948,27.8451,101.0623,54
279.0000,101.1636,29.9199,2.0000,27.9451,0.0025,27.9451,101.1636,21
280.0000,101.1325,27.3245,-0.0008,27.9450,-0.0000,27.9450,101.1325,70
281.0000,101.2392,30.0791,-0.0008,27.9450,-0.0000,27.9450,101.2392,17
282.0000,101.3100,29.3843,0.9850,27.9942,0.0012,27.9942,101.3100,41
283.0000,101.2943,27.6811,-0.0008,27.9942,-0.0000,27.9942,101.2943,20
284.0000,101.3797,29.7015,-0.0008,27.9942,-0.0000,27.9942,101.3797,94
285.0000,101.5299,30.9985,-0.0008,27.9941,-0.0000,27.9941,101.5299,22
286.0000,101.6310,30.0659,2.0000,28.0941,0.0025,28.0941,101.6310,9
287.0000,101.6532,28.5382,-0.0008,28.0941,-0.0000,28.0941,101.6532,77
288.0000,101.7394,29.8182,-0.0008,28.0940,-0.0000,28.0940,101.7394,15
289.0000,101.7009,27.3237,-0.0008,28.0940,-0.0000,28.0940,101.7009,29
290.0000,101.8221,30.5189,-0.0008,28.0940,-0.0000,28.0940,101.8221,15
291.0000,101.8346,28.3922,2.0000,28.1940,0.0025,28.1940,101.8346,57
292.0000,101.7985,27.4731,-0.0008,28.1939,-0.0000,28.1939,101.7985,37
293.0000,101.7534,27.2908,-0.0008,28.1939,-0.0000,28.1939,101.7534,49
294.0000,103.2298,29.5290,0.0000,0.0100,0.0100,28.1939,103.2298,1
295.0000,103.3426,30.4505,-0.0008,28.1938,-0.0000,28.1938,103.3426,24
296.0000,103.3858,29.1078,2.0000,28.2938,0.0025,28.2938,103.3858,27
297.0000,103.3303,27.1836,-0.0008,28.2938,-0.0000,28.2938,103.3303,14
298.0000,103.4533,30.7531,-0.0008,28.2938,-0.0000,28.2938,103.4533,26
299.0000,103.4864,29.0069,2.0000,28.3938,0.0025,28.3938,103.4864,35
300.0000,103.6118,30.9012,-0.0008,28.3937,-0.0000,28.3937,103.6118,53
