Simulate Step number ,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading
304,493.245,14.7561,0.0572573,28.744,3.7325,28.744,493.245
305,492.546,14.7561,-7.97144e-06,28.744,-9.9643e-09,28.744,492.546
306,491.846,14.7561,0.0220647,28.7451,3.73245,28.7451,491.846
307,491.147,14.7561,-7.97329e-06,28.7451,-9.96661e-09,28.7451,491.147
308,490.446,14.7561,0.852724,28.7877,68.1471,28.7877,490.446
309,489.745,14.7561,-7.99876e-06,28.7877,-9.99845e-09,28.7877,489.745
310,489.043,14.7561,-7.99915e-06,28.7877,-9.99843e-09,28.7877,489.043
311,488.341,14.7561,-7.99873e-06,28.7877,-9.99842e-09,28.7877,488.341
312,487.641,14.7561,-0.737712,28.7508,3.7315,28.7508,487.641
313,486.941,14.7561,-7.98885e-06,28.7508,-9.98606e-09,28.7508,486.941
314,486.241,14.7561,-7.98761e-06,28.7508,-9.98451e-09,28.7508,486.241
315,485.542,14.7561,-0.0715957,28.7472,0.0471937,28.7472,485.542
316,484.842,14.7561,0.00347731,28.7474,4.34664e-06,28.7474,484.842
317,484.142,14.7561,0.0575619,28.7503,3.7325,28.7503,484.142
318,483.443,14.7561,-7.97152e-06,28.7503,-9.96427e-09,28.7503,483.443
319,482.743,14.7561,-7.96153e-06,28.7503,-9.95191e-09,28.7503,482.743
320,482.043,14.7561,-7.94117e-06,28.7503,-9.92646e-09,28.7503,482.043
321,481.344,14.7561,-7.87504e-06,28.7503,-9.8438e-09,28.7503,481.344
322,480.644,14.7561,0.000992918,28.7503,1.24115e-06,28.7503,480.644
323,479.944,14.7561,0.0116453,28.7509,0.19546,28.7509,479.944
324,479.244,14.7561,0.00732912,28.7513,9.16139e-06,28.7513,479.244
325,478.545,14.7561,0.00955801,28.7518,1.19475e-05,28.7518,478.545
326,477.845,14.7561,0.00971274,28.7522,1.21409e-05,28.7522,477.845
327,477.145,14.7561,0.00972377,28.7527,1.21547e-05,28.7527,477.145
328,476.445,14.7561,0.00972485,28.7532,1.21561e-05,28.7532,476.445
329,475.745,14.7561,0.00972524,28.7537,1.21565e-05,28.7537,475.745
330,475.045,14.7561,0.00972558,28.7542,1.2157e-05,28.7542,475.045
331,474.345,14.7561,0.0579992,28.7571,3.7325,28.7571,474.345
