Simulate Step number ,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading
287,649.129,24.7561,1.02972,28.8,-9.999e-09,28.7515,649.129
288,648.929,24.7561,-7.97903e-06,28.7515,-9.97379e-09,28.7515,648.929
289,648.729,24.7561,-7.97819e-06,28.7515,-9.97274e-09,28.7515,648.729
290,648.529,24.7561,-7.97728e-06,28.7515,-9.9716e-09,28.7515,648.529
291,648.33,24.7561,-7.97628e-06,28.7515,-9.97037e-09,28.7515,648.33
292,648.13,24.7561,-7.97522e-06,28.7515,-9.96902e-09,28.7515,648.13
293,647.93,24.7561,-7.97404e-06,28.7515,-9.96755e-09,28.7515,647.93
294,647.73,24.7561,-7.97274e-06,28.7515,-9.96592e-09,28.7515,647.73
295,647.53,24.7561,-7.9713e-06,28.7515,-9.96413e-09,28.7515,647.53
296,647.331,24.7561,-0.0327891,28.7498,0.049959,28.7498,647.331
297,647.131,24.7561,-6.86475e-06,28.7498,-8.58093e-09,28.7498,647.131
298,646.931,24.7561,0.00095162,28.7499,1.18953e-06,28.7499,646.931
299,646.731,24.7561,0.122602,28.8499,-9.999e-09,28.756,646.731
300,646.531,24.7561,-7.99088e-06,28.756,-9.9886e-09,28.756,646.531
301,646.331,24.7561,-7.99072e-06,28.756,-9.9884e-09,28.756,646.331
302,646.131,24.7561,-7.99056e-06,28.756,-9.9882e-09,28.756,646.131
303,645.931,24.7561,-7.99039e-06,28.756,-9.98799e-09,28.756,645.931
304,645.731,24.7561,-7.99022e-06,28.756,-9.98778e-09,28.756,645.731
305,645.531,24.7561,-7.99004e-06,28.756,-9.98755e-09,28.756,645.531
306,645.331,24.7561,-7.98987e-06,28.756,-9.98732e-09,28.756,645.331
307,645.131,24.7561,-7.98966e-06,28.756,-9.98708e-09,28.756,645.131
308,644.931,24.7561,-7.98947e-06,28.756,-9.98683e-09,28.756,644.931
309,644.732,24.7561,-7.98926e-06,28.756,-9.98657e-09,28.756,644.732
310,644.532,24.7561,-7.98904e-06,28.756,-9.9863e-09,28.756,644.532
311,644.332,24.7561,-7.98882e-06,28.756,-9.98602e-09,28.756,644.332
312,644.132,24.7561,-0.000203189,28.756,-9.9857e-09,28.756,644.132
313,643.932,24.7561,-7.98831e-06,28.756,-9.98539e-09,28.756,643.932
314,643.732,24.7561,-7.98817e-06,28.756,-9.98507e-09,28.756,643.732
315,643.532,24.7561,-7.98779e-06,28.756,-9.98474e-09,28.756,643.532
316,643.332,24.7561,-7.98751e-06,28.756,-9.98439e-09,28.756,643.332
317,643.132,24.7561,-7.98722e-06,28.756,-9.98402e-09,28.756,643.132
318,642.932,24.7561,-7.98691e-06,28.756,-9.98364e-09,28.756,642.932
319,642.732,24.7561,-7.98659e-06,28.756,-9.98323e-09,28.756,642.732
320,642.532,24.7561,-7.98625e-06,28.756,-9.98281e-09,28.756,642.532
321,642.332,24.7561,-7.98589e-06,28.756,-9.98236e-09,28.756,642.332
322,642.132,24.7561,-7.98552e-06,28.756,-9.9819e-09,28.756,642.132
323,641.932,24.7561,-7.98512e-06,28.756,-9.9814e-09,28.756,641.932
324,641.732,24.7561,-7.9851e-06,28.756,-9.98088e-09,28.756,641.732
325,641.531,24.7561,0.0557517,28.856,-9.999e-09,28.7588,641.531
326,641.331,24.7561,-7.99117e-06,28.7588,-9.98896e-09,28.7588,641.331
327,641.131,24.7561,-7.99102e-06,28.7588,-9.98878e-09,28.7588,641.131
328,640.931,24.7561,-7.99087e-06,28.7588,-9.98859e-09,28.7588,640.931
329,640.731,24.7561,-7.99072e-06,28.7588,-9.9884e-09,28.7588,640.731
330,640.531,24.7561,0.0129157,0.00999999,0.00999999,28.7594,640.531
331,640.331,24.7561,-7.99138e-06,28.7594,-9.98922e-09,28.7594,640.331
332,640.13,24.7561,-7.99124e-06,28.7594,-9.98905e-09,28.7594,640.13
333,639.93,24.7561,-7.9911e-06,28.7594,-9.98887e-09,28.7594,639.93
334,639.73,24.7561,-7.99095e-06,28.7594,-9.98869e-09,28.7594,639.73
335,639.53,24.7561,-7.9908e-06,28.7594,-9.9885e-09,28.7594,639.53
336,639.33,24.7561,-7.99064e-06,28.7594,-9.9883e-09,28.7594,639.33
337,639.13,24.7561,-7.99047e-06,28.7594,-9.98809e-09,28.7594,639.13
338,638.929,24.7561,-7.9903e-06,28.7594,-9.98788e-09,28.7594,638.929
